sample_index,image_id,question,ground_truth,prediction,latency_sec
819,2386867,What color is the shelf that the artwork is on top of?,white,White,6.086092948913574
820,2411391,Is the light sky white or blue?,blue,White,5.768197059631348
821,1592634,On which side of the photo is the silver fork?,left,Right,5.8873021602630615
822,2394625,Is the sweater above the dress shirt dark blue or white?,dark blue,Dark blue,5.713343858718872
823,2401298,Is the damaged luggage near the twigs blue and dirty?,yes,Yes,5.757400989532471
824,2382163,What color does the net the woman is in front of have?,orange,Orange,5.638843059539795
825,2367590,Is plastic used to make the bracelet?,no,No,5.674635171890259
826,2325119,Are the onions in the bottom or in the top of the image?,bottom,Bottom,5.739030122756958
827,2336230,On which side of the image are the curtains?,right,Left,5.740117073059082
828,2350095,Are the pipes short?,no,No,5.810283660888672
829,2379887,What is the color of the rocks?,green,Blue,5.665643930435181
830,2406586,Does the drink to the left of the computer mouse look red?,yes,Yes,5.927629709243774
831,2392919,"Where in this photograph is the frisbee, on the left or on the right?",right,Left,5.807018995285034
832,2376858,What is the color of the carpet?,green,Green,5.8936052322387695
833,2316356,What color do you think the bench that is on the platform is?,white,Black,5.851547002792358
834,2387817,What is the color of the traffic cone on the left side?,green,Green,5.8631792068481445
835,2416222,Which shape is the bowl to the left of the tomato?,square,Square,5.909679889678955
836,2400350,Which side of the picture is the broccoli on?,left,Right,5.804203987121582
837,2351384,Does the swimsuit look pink?,yes,No,5.967802047729492
838,2382460,On which side of the photo is the trash can?,right,Right,5.774570941925049
839,2352092,Do the shoe and the truck have a different colors?,yes,Yes,5.878191709518433
840,2407938,"How does the boy to the left of the bicycle appear to be like, skiing or riding?",riding,Riding,5.826251983642578
841,2377074,Which color does the scarf have?,black,Red,5.8071019649505615
842,2349222,Is the fence in the top part?,yes,Yes,5.865894079208374
843,2372406,Is this a black keyboard?,no,No,5.70123815536499
844,2320675,Does the shelf to the right of the girl look white?,yes,No,5.8783581256866455
845,2411252,What color are the wires that are in the sky?,gray,Black,5.733401298522949
846,2406169,How long is the banana that looks green and yellow?,short,Short,5.867725133895874
847,2409249,Is the suitcase to the left of the truck both green and large?,no,No,5.816621780395508
848,2363578,Is the door metallic and brown?,yes,No,5.864223003387451
849,2330551,What is common to the sky and the tractor?,color,Color,5.948009014129639
850,2325219,Which side of the image are the houses on?,right,Left,5.845185041427612
851,2404849,Which side of the picture is the woman on?,right,Right,5.939283132553101
852,2374759,What color are the leaves on the street?,brown,Brown,5.777032852172852
853,2404429,What's the giraffe doing?,posing,Walking,6.175195693969727
854,2328981,Is the hair blond?,no,No,6.563939094543457
855,2405250,Which color is the shirt?,white,Red,6.698529958724976
856,2379350,Does the woman's hair have brown color?,no,No,7.201746225357056
857,2316817,"Which is older, the lady or the boy?",lady,Lady,6.398701190948486
858,2325119,Is the napkin on the right side of the picture?,no,No,6.383763313293457
859,2394146,On which side of the image is the person?,left,Right,6.454582929611206
860,4063,Is the bench on the right side?,no,Yes,5.924052953720093
861,2328271,Is the white vehicle on the left side?,no,No,5.936032772064209
862,2417476,What color is the mane?,brown,Brown,5.693436861038208
863,2381580,"In which part of the image is the container, the bottom or the top?",bottom,Bottom,5.837135076522827
864,2375742,Are the cars in the top of the photo?,no,No,5.704309940338135
865,2376382,Which side is the red book on?,left,Left,5.7230799198150635
866,174,Is the bed to the left of the closet small and colorful?,no,Yes,5.740741014480591
867,2317127,What color is the mug?,white,Green,5.655241966247559
868,2368263,Does the jacket look blue?,yes,Yes,5.7405641078948975
869,2408676,Do the gloves look black and small?,yes,Yes,5.595643997192383
870,2333840,Which side of the picture is the notepad on?,right,Left,5.842625617980957
871,2407225,Is the house to the right of the fence large and yellow?,yes,No,5.770678997039795
872,2404215,"On which side is the racket, the right or the left?",left,Right,5.864691734313965
873,2409346,Is the chair on the right side?,no,No,5.779894113540649
874,2321227,"On which side are the people, the right or the left?",left,Right,5.854634046554565
875,2355817,Does the chair have white color?,yes,No,5.92531681060791
876,2411521,Is the bread in the top or in the bottom part of the image?,bottom,Bottom,5.888551235198975
877,2389990,On which side of the image is the drawer?,left,Right,5.981281757354736
878,2372032,Is the skateboard wooden and white?,yes,Yes,5.7845470905303955
879,2376081,Which side of the picture is the woman on?,left,Left,5.9063732624053955
880,2367303,On which side of the picture is the man?,left,Left,5.800602912902832
881,2408154,What is the material of the sheep that looks brown and white?,plastic,Wood,5.8462231159210205
882,2393923,What do the cell phone screen and the wall have in common?,color,Color,5.832714080810547
883,2392185,"Which color is the house behind the dog, white or brown?",white,White,5.736421823501587
884,2348410,Do you think this train is snowy?,yes,Yes,5.867334842681885
885,2371506,The clock that is in the top of the picture is of what color?,black,Black,5.732701063156128
886,2367234,"In which part of the picture is the white bowl, the bottom or the top?",bottom,Bottom,6.00302791595459
887,713905,Which side of the picture is the kitchen faucet on?,right,Right,5.810847043991089
888,2106,Do you think the box is brown?,no,No,5.893850088119507
889,2386299,"Which color is the tire, yellow or black?",yellow,Yellow,5.858174085617065
890,2401477,What is the lid made of?,glass,Metal,5.828023910522461
891,2393626,On which side is the plate?,left,Left,5.8995020389556885
892,2032,Is that nightstand white or dark?,dark,Dark,5.752828121185303
893,2367682,What color is the poster?,blue,White,5.947192907333374
894,2357958,What is the man doing?,surfing,Surfing,5.83671498298645
895,2352324,The long couch has what color?,cream colored,Tan,5.9159629344940186
896,2366184,What color is the table the number is on?,blue,Blue,5.809880971908569
897,2382804,Is the dryer white or black?,black,Black,5.839379072189331
898,2356252,Do the giraffes that are playing seem to be walking?,no,Yes,5.891233205795288
899,2372599,What is the color of the garbage bin that is not big?,silver,Black,5.784143924713135
900,2404734,"What color is the hat, dark or red?",dark,Dark,5.912615776062012
901,4609,Does the umbrella to the right of the other umbrella look large and blue?,yes,No,5.75898814201355
902,2367808,Does the vase on the table have black color?,yes,No,5.929290771484375
903,2417595,On which side of the picture is the keyboard?,left,Right,5.785592079162598
904,2394152,Does the small glass look short and clear?,yes,Yes,5.896985054016113
905,2347983,On which side of the image is the black bag?,left,Right,5.906230926513672
906,2375648,Does the chair to the right of the umbrella look brown?,no,No,5.881976127624512
907,2410828,Is the boy in the top part or in the bottom of the photo?,top,Top,6.011669874191284
908,2343637,Does the bridge have large size?,yes,Yes,5.80465292930603
909,2328850,Which side of the photo is the woman on?,right,Left,5.9475367069244385
910,2365517,Does the dog have brown color?,no,No,5.781830072402954
911,2327121,"Where in the image is the chair, in the top or in the bottom?",top,Top,5.916676998138428
912,2408684,What is common to the wall and the curtain?,color,Color,6.187284231185913
913,2387037,On which side of the picture is the bun?,right,Left,6.286242961883545
914,2385819,Is the steamed broccoli in the bottom of the photo?,no,No,6.617006778717041
915,2320199,What's the fence made of?,metal,Metal,6.424545049667358
916,2354285,Is the grass short and green?,yes,Yes,6.599300146102905
917,2368632,Is the airplane's tail red or blue?,blue,Blue,6.477407932281494
918,2392147,Is the wood chair in the bottom part or in the top of the image?,top,Bottom,6.385158061981201
919,2378533,What is the color of the shirt that the woman is wearing?,blue,Blue,6.445791006088257
920,2375742,Does that clock look tall and black?,no,Yes,6.159425735473633
921,2335269,What's the fence made of?,metal,Wood,6.341277122497559
922,2374759,What's the man doing?,skateboarding,Skateboarding,6.380318880081177
923,2409712,"Where in this image is the chair, on the right or on the left?",left,Right,6.236995697021484
924,2368332,Which side of the photo is the blue vehicle on?,left,Left,6.305057048797607
925,2341413,Which side of the photo is the bottle on?,right,Right,6.144678831100464
926,2396367,The mirror is of which shape?,round,Round,6.405246019363403
927,2416150,"On which side of the picture are the red vegetables, the right or the left?",right,Right,6.244192838668823
928,2387251,On which side of the photo is the bell?,right,Right,6.277083873748779
929,2378658,Which color do the scissors on the left have?,gray,Black,6.357909202575684
930,2405536,What is the bat made of?,metal,Metal,6.164828300476074
931,2340236,What color is the jersey the number is on?,black,Red and white,6.522219181060791
932,2406323,Is the black hair short or long?,long,Long,6.301419973373413
933,2344346,Are the monitor and the tower the same color?,yes,Yes,6.323083162307739
934,2352686,What color is the hair?,brown,Black,6.427368879318237
935,2384939,What is the color of the vest?,blue,White,6.240867853164673
936,2392665,Is the woman on the left side or on the right of the image?,left,Right,6.459345817565918
937,2365281,What color is the device on top of the table?,gray,Black,6.281651973724365
938,2368283,Are the suits black?,no,No,6.299119710922241
939,2351404,"Which color is the bag to the right of the keyboard, black or green?",black,Black,6.430983066558838
940,2367508,Are the olives green or black?,green,Green,6.211783170700073
941,2385903,How hard is the food with the cheese?,soft,Hard,6.383752822875977
942,2358679,On which side of the photo is the bench?,right,Right,6.169870853424072
943,2403266,On which side of the picture is the man?,left,Right,6.25930380821228
944,2326899,Of what color is the sheet in the top of the photo?,pink,Blue,6.31418514251709
945,2344488,Is the crate in the top of the image?,yes,Yes,6.175067186355591
946,2413146,Does the small fence look white?,yes,Yes,6.436783790588379
947,2352617,On which side of the picture is the large bag?,right,Left,6.259646892547607
948,2394369,What color are the snow boots?,white,Black,6.427896022796631
949,2367240,On which side of the photo are the French fries?,right,Right,6.516579627990723
950,2376400,What is the color of the jeans the woman is wearing?,blue,Blue,6.491179943084717
951,370,Is plastic used to make the trashcan near the window?,yes,No,6.842095136642456
952,2347450,What's the man doing?,taking photo,Standing,6.7089619636535645
953,2352191,Is the plate black?,no,No,6.6836278438568115
954,1592401,What color is the cap?,white,Black,6.849103927612305
955,2347710,Is the picture in the top part or in the bottom of the photo?,top,Bottom,6.733914136886597
956,2402121,Is the striped curtain on the left?,no,Yes,6.814250946044922
957,2337676,"On which side of the photo is the woman, the left or the right?",right,Left,6.885202169418335
958,2391310,How long is the man's hair?,short,Short,7.310521841049194
959,2406733,Which side is the blue bird on?,right,Right,7.32638692855835
960,2387685,What is the ladder by the airplane made of?,metal,Plastic,6.691766023635864
961,2358063,Is the door red and metallic?,yes,No,4.4599010944366455
962,2365868,What color is the bus to the right of the car?,blue,White,4.331754922866821
963,2381632,What color do you think the clouds are?,gray,White,4.395858287811279
964,2334745,Is the napkin different in color than the bowl?,no,Yes,4.676717042922974
965,2335234,What is the color of the shirt?,white,White,4.945671081542969
966,2355792,Is the white lamp on the right?,no,Yes,5.125105857849121
967,393,What color does the tank top have?,gray,White,5.628582954406738
968,2317646,Is the snowsuit green or orange?,green,Green,5.7762131690979
969,1159718,Is the woman on the right or on the left side?,right,Right,905.247575044632
970,2354705,Does the hydrant have the same color as the fence?,yes,Yes,4.331697940826416
971,2406659,Does the puddle by the fire truck look short?,no,No,4.33028507232666
972,2360257,What is the length of the man's hair?,short,Short,4.331573963165283
973,2316905,Is the color of the frame different than the wine bottle?,yes,No,4.334667205810547
974,2414475,What's the woman doing?,brushing teeth,Brushing teeth,4.426713943481445
975,2385456,What color is the TV stand?,gray,White,4.328289985656738
976,2359264,Which color is the sky?,blue,Blue,4.328655958175659
977,2330262,On which side are the cones?,right,Right,4.465165138244629
978,2369041,Is the cowboy on the left?,yes,No,5.1251912117004395
979,2341698,Is the necklace different in color than the purse?,no,No,215.10086703300476
980,1159289,Is the rug on the left side of the picture?,yes,Yes,4.337129354476929
981,2384058,The snowboard is of which color?,silver,Black,4.331238269805908
982,2352843,The car to the left of the bus has which color?,silver,Yellow,4.335540294647217
983,90,Is the cabinet on the left side of the photo?,yes,No,4.334031820297241
984,2368399,Is the ball in the top or in the bottom part?,top,Top,4.33552885055542
985,713056,Is the gray car in the top part of the image?,yes,Yes,4.34856390953064
986,2412204,Does the curly hair look short?,yes,Yes,4.368687152862549
987,2318746,On which side of the picture is the gray helmet?,left,Left,4.635840892791748
988,2350006,Is the shirt blue or orange?,orange,Orange,5.308566093444824
989,2401809,Which color is the backpack?,orange,Black,38.65568828582764
990,2386903,Does that hair look straight?,yes,No,4.645479202270508
991,2405545,Are the trousers brown or khaki?,brown,Khaki,4.4498679637908936
992,2400829,Are the tires gray or yellow?,gray,Gray,4.413646936416626
993,2358074,Is the faucet to the right of the soap antique and silver?,no,No,4.4005749225616455
994,2349187,Is the girl on the left?,yes,Yes,4.453207969665527
995,2349526,Is the wood fence in the top of the photo?,no,No,4.407582998275757
996,2368973,What color do you think is the umbrella?,red,Pink,4.388072967529297
997,2355306,On which side of the image is the bench?,left,Left,4.385358810424805
998,1159850,What are the forks made of?,plastic,Plastic,4.41789698600769
999,2382986,What is the color of the towel on the bed?,brown,Black,4.339939117431641
